reading file screw_face5b.txt
parsing line: "['NODES:']"
parsing line: "['85.000000', '-68.000000', '2.000000', '2']"
parsing line: "['-69.000000', '84.000000', '4.000000', '2']"
parsing line: "['-68.000000', '85.000000', '2.000000', '2']"
parsing line: "['84.000000', '-69.000000', '4.000000', '2']"
parsing line: "['-70.076320', '81.331520', '7.744794', '2']"
parsing line: "['-69.733020', '78.107180', '10.625830', '2']"
parsing line: "['0.000000', '13.000000', '0.000000', '3']"
parsing line: "['0.000000', '0.000000', '13.000000', '3']"
parsing line: "['3.000000', '13.000000', '3.000000', '3']"
parsing line: "['13.000000', '13.000000', '13.000000', '3']"
parsing line: "['3.030015', '0.000000', '9.969985', '3']"
parsing line: "['13.000000', '3.000000', '3.000000', '3']"
parsing line: "['3.155434', '2.844566', '13.000000', '3']"
parsing line: "['-34.582330', '29.610330', '23.972030', '2']"
parsing line: "['-32.151130', '27.322220', '23.829190', '2']"
parsing line: "['2.081595', '7.415484', '9.502922', '2']"
parsing line: "['2.448906', '10.383630', '6.167460', '2']"
parsing line: "['1.798798', '13.285750', '3.915457', '2']"
parsing line: "['2.730097', '1.153858', '9.116046', '2']"
parsing line: "['2.432228', '10.567770', '0.000000', '2']"
parsing line: "['61.272100', '-61.111670', '18.839560', '2']"
parsing line: "['65.348430', '-62.888700', '16.540250', '2']"
parsing line: "['8.793347', '8.326848', '4.120194', '2']"
parsing line: "['6.418299', '10.869660', '4.287962', '2']"
parsing line: "['80.310450', '-67.197220', '5.886772', '2']"
parsing line: "['84.065630', '-67.996710', '2.931090', '2']"
parsing line: "['4.728857', '12.179190', '3.908044', '2']"
parsing line: "['-64.649890', '74.657940', '8.991953', '2']"
parsing line: "['-63.766300', '72.115580', '10.650720', '2']"
parsing line: "['-28.785070', '24.367320', '23.418230', '2']"
parsing line: "['-5.831502', '11.086930', '13.745340', '2']"
parsing line: "['-3.444437', '10.779950', '11.665120', '2']"
parsing line: "['5.311597', '-19.875590', '33.564000', '2']"
parsing line: "['7.312411', '-22.130050', '33.817650', '2']"
parsing line: "['-69.728500', '83.292500', '5.435995', '2']"
parsing line: "['-32.815190', '22.286080', '29.529110', '2']"
parsing line: "['-29.795820', '19.097890', '29.697940', '2']"
parsing line: "['-0.926863', '11.150840', '8.776393', '2']"
parsing line: "['-37.698860', '32.725440', '23.973430', '2']"
parsing line: "['-15.592390', '3.924645', '30.667740', '2']"
parsing line: "['-13.370480', '1.469575', '30.900910', '2']"
parsing line: "['-9.145340', '12.136280', '16.009920', '2']"
parsing line: "['-17.421110', '16.240870', '20.181110', '2']"
parsing line: "['-13.216280', '13.945800', '18.271380', '2']"
parsing line: "['4.005482', '2.521165', '11.515680', '2']"
parsing line: "['22.270810', '-37.995670', '34.724880', '2']"
parsing line: "['26.118440', '-41.689690', '34.571260', '2']"
parsing line: "['-0.201041', '1.339372', '17.861670', '2']"
parsing line: "['-0.993697', '-0.802674', '20.796370', '2']"
parsing line: "['17.238520', '-28.266660', '30.028150', '2']"
parsing line: "['20.380170', '-31.497910', '30.117730', '2']"
parsing line: "['2.108812', '-16.219650', '33.110840', '2']"
parsing line: "['68.105030', '-69.845860', '20.740820', '2']"
parsing line: "['72.392790', '-71.157330', '17.764540', '2']"
parsing line: "['4.265999', '3.064095', '11.669910', '1']"
parsing line: "['-0.618865', '-3.719890', '23.338760', '2']"
parsing line: "['0.756617', '-7.172255', '25.415640', '2']"
parsing line: "['-41.070970', '31.270360', '28.800620', '2']"
parsing line: "['-38.483800', '28.388800', '29.095000', '2']"
parsing line: "['-60.884760', '57.709050', '22.175710', '2']"
parsing line: "['-58.363280', '53.656060', '23.707230', '2']"
parsing line: "['-40.653400', '35.878570', '23.774840', '2']"
parsing line: "['-55.900040', '56.077960', '18.822070', '2']"
parsing line: "['-54.144490', '53.294890', '19.849600', '2']"
parsing line: "['28.786270', '-44.128680', '34.342410', '2']"
parsing line: "['54.493070', '-63.224490', '27.731420', '2']"
parsing line: "['59.220930', '-65.863400', '25.642480', '2']"
parsing line: "['26.479280', '-37.365200', '29.885920', '2']"
parsing line: "['29.440030', '-40.017560', '29.577530', '2']"
parsing line: "['40.203590', '-48.613490', '27.409910', '2']"
parsing line: "['43.475220', '-50.920670', '26.445450', '2']"
parsing line: "['-3.366097', '-9.939364', '32.305460', '2']"
parsing line: "['-1.491480', '-12.089400', '32.580880', '2']"
parsing line: "['12.874560', '3.083627', '2.958186', '3']"
parsing line: "['-21.595350', '10.405390', '30.189960', '2']"
parsing line: "['-18.715240', '7.316329', '30.398910', '2']"
parsing line: "['10.765480', '3.041814', '5.150898', '4']"
parsing line: "['-53.440300', '46.505700', '25.934600', '2']"
parsing line: "['-51.052170', '43.313030', '26.739140', '2']"
parsing line: "['-43.689570', '34.270750', '28.418820', '2']"
parsing line: "['-50.275490', '47.683400', '21.592100', '2']"
parsing line: "['-48.154990', '44.850690', '22.304300', '2']"
parsing line: "['-68.777790', '74.422900', '13.354880', '2']"
parsing line: "['41.837640', '-54.805240', '31.967600', '2']"
parsing line: "['45.433530', '-57.386620', '30.953100', '2']"
parsing line: "['31.936610', '-46.896470', '33.959850', '2']"
parsing line: "['37.728190', '-46.777780', '28.049590', '2']"
parsing line: "['32.319420', '-42.475630', '29.156200', '2']"
parsing line: "['10.575840', '-25.734890', '34.159050', '2']"
parsing line: "['-26.716810', '15.850490', '29.866320', '2']"
parsing line: "['1.958757', '2.629821', '14.411420', '2']"
parsing line: "['2.314902', '7.961926', '2.723172', '2']"
parsing line: "['76.799990', '-66.462410', '8.662424', '2']"
parsing line: "['-23.986560', '12.955530', '30.031030', '2']"
parsing line: "['2.910003', '-10.936180', '27.026180', '2']"
parsing line: "['5.235109', '-14.301390', '28.066280', '2']"
parsing line: "['13.836010', '-24.607290', '29.771280', '2']"
parsing line: "['-35.732010', '25.398660', '29.333350', '2']"
parsing line: "['-63.391480', '62.116400', '20.275080', '2']"
parsing line: "['-67.458470', '70.730520', '15.727940', '2']"
parsing line: "['11.986970', '4.155613', '3.142582', '2']"
parsing line: "['-57.537380', '58.846980', '17.690390', '2']"
parsing line: "['-62.750400', '69.485250', '12.265150', '2']"
parsing line: "['-61.627740', '66.858170', '13.769580', '2']"
parsing line: "['-5.496725', '-7.489375', '31.986100', '2']"
parsing line: "['-22.985770', '19.866580', '22.119930', '2']"
parsing line: "['-20.153600', '17.947660', '21.206760', '2']"
parsing line: "['63.646050', '-68.027700', '23.381650', '2']"
parsing line: "['79.758320', '-71.773410', '11.015090', '2']"
parsing line: "['82.289590', '-70.992390', '7.702795', '2']"
parsing line: "['23.455600', '-34.524390', '30.068790', '2']"
parsing line: "['2.208928', '6.094697', '10.696370', '2']"
parsing line: "['68.760560', '-64.170940', '14.410380', '2']"
parsing line: "['47.808670', '-53.767090', '24.958400', '2']"
parsing line: "['52.096190', '-56.354620', '23.258410', '2']"
parsing line: "['6.966215', '3.000000', '9.033784', '4']"
parsing line: "['3.010144', '11.267580', '4.722278', '2']"
parsing line: "['-46.174860', '37.210170', '27.964690', '2']"
parsing line: "['-48.640830', '40.233670', '27.407160', '2']"
parsing line: "['-43.448170', '39.049080', '23.399080', '2']"
parsing line: "['-45.894160', '41.986790', '22.907380', '2']"
parsing line: "['35.133430', '-49.578590', '33.445160', '2']"
parsing line: "['38.404630', '-52.195690', '32.791060', '2']"
parsing line: "['35.073780', '-44.717040', '28.643260', '2']"
parsing line: "['2.454712', '4.586138', '5.959151', '2']"
parsing line: "['-10.576700', '-1.674452', '31.251150', '2']"
parsing line: "['-8.046572', '-4.561636', '31.608210', '2']"
parsing line: "['10.494290', '-20.831420', '29.337130', '2']"
parsing line: "['7.789579', '-17.596700', '28.807120', '2']"
parsing line: "['-65.669560', '66.617460', '18.052100', '2']"
parsing line: "['-60.394000', '64.227490', '15.166510', '2']"
parsing line: "['-59.029450', '61.553910', '16.475540', '2']"
parsing line: "['76.387370', '-71.839310', '14.451940', '2']"
parsing line: "['58.433430', '-59.736610', '20.303080', '2']"
parsing line: "['-66.380360', '80.235950', '5.144407', '2']"
parsing line: "['-65.585210', '77.637990', '6.947227', '2']"
parsing line: "['1.037656', '12.825060', '5.137376', '2']"
parsing line: "['17.920560', '-33.603370', '34.682950', '2']"
parsing line: "['20.101620', '-35.830840', '34.729310', '2']"
parsing line: "['-55.879930', '49.941440', '24.938490', '2']"
parsing line: "['-52.270390', '50.497200', '20.773190', '2']"
parsing line: "['49.864510', '-60.361900', '29.497390', '2']"
parsing line: "['-67.260020', '82.718980', '3.541043', '2']"
parsing line: "['83.678220', '-69.841650', '5.163429', '2']"
parsing line: "['72.140250', '-65.260900', '12.120650', '2']"
parsing line: "['14.289900', '-29.765270', '34.475610', '2']"
